newpipe,newmed,amplitude,t_peak_BJD,dur_d,amplitude2,t_peak_BJD2,dur_d2,ED,EDerr,mean_bol_energy,std_bol_energy,ingress,egress,tmin,tmax,parametrization,flare_factor
103i,2501601.86429651,113363.897002566,2460392.78490566,0.046561018622823,262747.637412947,2460392.79321868,0.0149678908992977,272,11.4,8.34979193729527E+035,7.52821426454052E+034,nan,2460392.71644,2460392.76,2460392.93,davenport2014,3.08E+033
104i,2544594.80306566,31796.71948893,2460400.00330851,0.0282440580374059,,,,24.9,0.32,7.67994432633455E+034,6.72459525849698E+033,nan,2460399.67594,2460399.97,2460400.09,davenport2014,3.06E+033
107i,2456938.34559541,8976.18821146641,2460455.63804035,0.0250168058487402,,,,4.7,0.135,1.45164243025573E+034,1.34511974362496E+033,nan,2460455.35197,2460455.63,2460455.67,davenport2014,3.09E+033
102ch,2470058.10384478,5656.61040053024,2460413.1811578,0.00315986692521445,,,,0.566,0.0881,1.7434828580398E+033,3.06182181954578E+032,2460413.39403,nan,2460413.16,2460413.225,davenport2014,3.08E+033
104i,2544594.80306566,30459.1419285791,2460400.00295393,0.0146720771460788,,,,24.6,0.467,7.65362302977002E+034,6.37308443550236E+033,nan,2460399.67594,2460399.97,2460400.09,mendoza2022,3.10021744808058E+033
107i,2456938.34559541,8275.73242024374,2460455.63740186,0.0134866071808515,,,,4.72,1.43,1.30461054449473E+034,4.53595466012392E+033,nan,2460455.35197,2460455.63,2460455.67,mendoza2022,3.06490494810556E+033
103i,2501601.86429651,111796.759196571,2460392.78717317,0.0318581224532498,434906.040902505,2460392.79180658,0.00301992254659321,277,9.91,8.47962320891151E+035,7.77791196534618E+034,nan,2460392.71644,2460392.76,2460392.93,mendoza2022,3.07872120244127E+033
102ch,2471588.0439857,12841.4998117042,2460413.22290665,0.000128446142358808,,,,0.125,0.019,3.91E+32,6.72E+31,2460413.39403,nan,2460413.16,2460413.225,mendoza2022,3.09E+33
