obsname,num,source_J,bkg_rms_J
20240426,08,0.00020851328736171126,5.4142840206023216e-05
20240426,09,0.0002410162123851478,5.500282495306116e-05
20240426,10,0.0003842163714580238,5.9029129477355866e-05
20240426,11,0.00045074918307363987,6.356234456537425e-05
20240426,12,0.00018315031775273383,8.647946389161854e-05
20240426,13,0.00016628741286695004,0.00011646203996005044
20240426,14,0.000499560555908829,9.071557214387423e-05
20240426,15,0.0003374223306309432,8.301795917917845e-05
20240426,16,0.0001865065423771739,6.466883412132724e-05
20240426,17,0.0002788840502034873,7.045942003193218e-05
20240426,18,0.00038925340049900115,8.030959369942131e-05
