obsname,num,source_J,bkg_rms_J
20240515,06,0.0003730031312443316,5.5576485806758636e-05
20240515,07,0.0002781944931484759,4.99547964510196e-05
20240515,08,0.00015754502965137362,6.158864929747182e-05
20240515,09,0.00012397464888636023,6.52163674489327e-05
20240515,10,0.00020747649250552058,5.517996297217062e-05
20240515,11,0.00030550797237083316,6.862283598363158e-05
20240515,12,0.00020831465371884406,0.00010237146262893043
20240515,13,0.00026317924493923783,7.399560304358985e-05
20240515,14,0.00017688324442133307,6.166268005077614e-05
20240515,15,0.00017167223268188536,6.377586525616238e-05
20240515,16,0.0003666804695967585,6.321654282537537e-05
