obsname,num,source_J,bkg_rms_J
20240511,06,0.0004993805196136236,7.076750053661257e-05
20240511,07,0.0006862494046799839,5.664121414363866e-05
20240511,08,0.0005659495363943279,7.453117345602124e-05
20240511,09,0.0005402727983891964,9.577539621802299e-05
20240511,10,0.0004539133224170655,9.181521649995878e-05
20240511,11,0.00036789660225622356,6.542863141958147e-05
20240511,12,0.00026874293689616024,0.00014349936393448495
20240511,13,0.00034999402123503387,0.00011611790311104753
20240511,14,0.0002647613291628659,6.268243300489437e-05
20240511,15,0.00020016886992380023,5.6790767224707665e-05
20240511,16,0.00012838603288400918,6.662744087326228e-05
20240511,17,0.00044528464786708355,0.00013639616724799066
