obsname,num,source_J,bkg_rms_J
20240704,02,0.0002214934502262622,0.00012946155647168802
20240704,03,0.00019176065688952804,8.553194597443514e-05
20240704,04,0.00018960396118927747,6.105363867728258e-05
20240704,05,0.00014336727326735854,4.691126115005392e-05
20240704,06,9.442623559152707e-05,4.1883979514235366e-05
20240704,07,0.00010616124927764758,4.8334455092511305e-05
20240704,08,0.00024287396809086204,5.169456514845562e-05
20240704,09,0.0002018714149016887,6.322822665438647e-05
20240704,10,0.0003428302879910916,4.817192443474269e-05
20240704,11,0.0003112652921117842,4.083390420556833e-05
20240704,12,0.000324039050610736,4.84209276312232e-05
20240704,13,0.00033368112053722143,6.268787842725135e-05
