obsname,num,source_J,bkg_rms_J
20240626,03,0.0003319641400594264,6.1373941275782e-05
20240626,04,0.0003016663249582052,5.17519364714303e-05
20240626,05,0.0003599800693336874,4.702405451843963e-05
20240626,06,0.0003441933949943632,4.4483556091838106e-05
20240626,07,0.0003262140671722591,4.499035490385137e-05
20240626,08,0.0004967568092979491,4.33331223603918e-05
20240626,09,0.0003753019846044481,4.735517285926306e-05
20240626,10,0.00033199251629412174,4.322955129461468e-05
20240626,11,0.0002555134706199169,4.3963496111781585e-05
20240626,12,0.00038075377233326435,4.8394796663765526e-05
20240626,13,0.0004182860429864377,5.240844536376318e-05
20240626,14,0.0005051287007518113,9.283436886319e-05
