obsname,num,source_J,bkg_rms_J
20240614,04,0.0003874903777614236,7.923892721063598e-05
20240614,05,0.00034722863347269595,5.064707351157984e-05
20240614,06,0.0003328183083795011,4.444274268467103e-05
20240614,07,0.0003160955384373665,4.307254760540755e-05
20240614,08,0.0004011008713860065,4.36021326916164e-05
20240614,09,0.0003306022263132036,4.76259882471753e-05
20240614,10,0.00021810270845890045,6.392162392451008e-05
20240614,11,0.00025920721236616373,4.266244421107886e-05
20240614,12,0.0002732678549364209,4.242914881925119e-05
20240614,13,0.0002737384056672454,4.345639270739716e-05
20240614,14,0.0004252225626260042,7.07741053877294e-05
