obsname,num,source_J,bkg_rms_J
20240619,04,0.00036325963446870446,6.182901847616231e-05
20240619,05,0.00035075092455372214,5.292354460248621e-05
20240619,06,0.00036504596937447786,5.239808109389469e-05
20240619,07,0.0003061596362385899,4.8534812061177864e-05
20240619,08,0.00037144418456591666,4.3081996078367354e-05
20240619,09,0.00027737056370824575,6.984989718943488e-05
20240619,10,0.00028097484027966857,5.283035721633411e-05
20240619,11,0.0002158564457204193,5.5775155962937545e-05
20240619,12,0.0002430332824587822,4.3952686907747434e-05
20240619,13,0.00026939521194435656,5.750923094959478e-05
20240619,14,0.00029129014001227915,8.153166813631907e-05
