obsname,num,source_J,bkg_rms_J,time,jd,time_seconds
20240611,06_09,0.0007847943343222,6.288356083821231e-05,2024-06-11 06:09:39,2460472.756701389,0.0
20240611,06_39,0.0008355132304131,6.683706933985077e-05,2024-06-11 06:39:39,2460472.7775347224,1800.000013411045
20240611,07_09,0.0006958613521419,7.192138812531935e-05,2024-06-11 07:09:39,2460472.7983680554,3599.999986588955
20240611,07_39,0.0007948178681544,6.577914149774696e-05,2024-06-11 07:39:39,2460472.819201389,5400.0
20240611,08_09,0.0009115461143665,6.59854838148593e-05,2024-06-11 08:09:39,2460472.8400347224,7200.000013411045
20240611,08_39,0.0008144462481141,7.157267143684845e-05,2024-06-11 08:39:39,2460472.8608680554,8999.999986588955
20240611,09_09,0.0014734796714037,6.65559155969021e-05,2024-06-11 09:09:39,2460472.881701389,10800.0
20240611,09_39,0.0014194118557497,8.007306193103833e-05,2024-06-11 09:39:39,2460472.9025347224,12600.000013411045
20240611,10_09,0.0013172709150239,8.587612036615525e-05,2024-06-11 10:09:39,2460472.9233680554,14399.999986588955
20240611,10_39,0.000793875195086,8.010168967754428e-05,2024-06-11 10:39:39,2460472.944201389,16200.0
20240611,11_09,0.0005534013616852,8.602700105658465e-05,2024-06-11 11:09:39,2460472.9650347224,18000.000013411045
20240611,11_39,0.0006322963163256,8.082669741869219e-05,2024-06-11 11:39:39,2460472.9858680554,19799.999986588955
