sector,flare,med_flux,amplitude,t_peak_BJD,dur_d,ED,EDerr,mean_bol_energy,std_bol_energy,parametrization
11,0,36566.24122016118,192.77227723364524,1608.2896809299104,0.013890433985751339,12.310446911362199,0.7744369140449752,4.2286763418880265e+34,4.5278101194835027e+33,mendoza2022
11,1,36758.38445028088,408.40638171752596,1609.6764197462771,0.015382385571452023,16.182944380768838,0.7189954862651023,5.577920783241236e+34,5.282750764068384e+33,mendoza2022
38,2,35245.31179625732,356.65125536503086,2334.8902420895665,0.027699639225364205,48.708714432011064,6.847394204064359,1.685255996689103e+35,2.775696117934799e+34,mendoza2022
38,3,35245.31179625732,828.3719675558441,2334.981108204818,0.02031466307789876,83.54510574813757,6.165098164499531,2.8667037029249754e+35,3.203712329657328e+34,mendoza2022
38,4,35245.31179625732,215.24122837973232,2335.1729277709587,0.021616637534518292,21.95237111139311,5.734901515883328,7.661583788446022e+34,2.0811836556276075e+34,mendoza2022
38,5,34954.22157668205,276.23190153953675,2342.013864165375,0.007865320661553077,10.827463641479252,0.6523510719296631,3.7440022715670794e+34,3.8906640983179516e+33,mendoza2022
64,6,35156.63789880399,158.31921358690713,3042.7574041660155,0.007181029591338834,5.558527442551987,0.6433000176044912,1.9479676977202067e+34,2.787494619460912e+33,mendoza2022
64,7,35277.397483327346,166.3348057519098,3044.2818453057207,0.011667350275128082,9.364733273582114,0.670340425513491,3.2506066283014466e+34,3.605408553685174e+33,mendoza2022
64,8,34873.0114053881,95.31745522446663,3045.4244142010057,0.006254770091102193,2.936676504343152,0.5979698911900678,9.954921623204798e+33,2.2516549247573176e+33,mendoza2022
64,9,34902.74096560425,135.7177540055369,3052.9905370929073,0.008575854856884798,5.844949297213288,0.5655541931218401,2.015890739078642e+34,2.6234911077049155e+33,mendoza2022
64,10,34135.035324986864,1676.0814732737367,3059.6084945850744,0.012360262650104342,103.26320159930742,2.9124012660102436,3.546490585966762e+35,3.1869176514304916e+34,mendoza2022
64,11,35207.56007466335,142.1654493541009,3065.829124232636,0.006661047209813473,4.709736221962295,0.6137243215887226,1.644637008757023e+34,2.563400598746455e+33,mendoza2022
