date,med_flux,amplitude,t_peak_BJD,dur_d,ED,EDerr,mean_bol_energy,std_bol_energy,tmin,tmax,parametrization
103i,2499321.01903797,120555.023313354,2460392.78916508,0.0366879723386545,239,0.447,7.37626210111217E+035,6.17508943144587E+034,2460392.76,2460392.98,mendoza2022
104i,2544594.80306566,30459.5280109706,2460400.00296199,0.0146707665404853,24.6,0.443,7.59248783823771E+034,6.80983723002101E+033,2460399.97,2460400.09,mendoza2022
107i,2456938.34559541,8281.55086614084,2460455.63737121,0.0134444752771591,4.73,1.06,1.3837400301595E+034,3.36142191258307E+033,2460455.63,2460455.67,mendoza2022
102ch,2475306.96471602,4863.54000173665,2460413.18120402,0.00213253780616901,0.647,0.0974,1.98094905548659E+033,3.29988106174785E+032,2460413.175,2460413.205,mendoza2022
