obsname,num,source_J,bkg_rms_J,tstart,date,time,datetime,jd,source_J_val,phase,rot_phase
20240704,3,0.0001917606568895,8.553194597443514e-05,02:22:49,2024-07-04,03:22:49,2024-07-04 03:22:49,2460495.6408449076,False,0.804541674934957,0.8610285667852576
20240704,4,0.0001896039611892,6.105363867728258e-05,02:22:49,2024-07-04,04:22:49,2024-07-04 04:22:49,2460495.682511574,False,0.8105287175920393,0.8904853829828159
20240704,5,0.0001433672732673,4.691126115005392e-05,02:22:49,2024-07-04,05:22:49,2024-07-04 05:22:49,2460495.7241782406,False,0.8165157602491214,0.9199421991803742
20240704,6,9.442623559152707e-05,4.1883979514235366e-05,02:22:49,2024-07-04,06:22:49,2024-07-04 06:22:49,2460495.7658449076,False,0.8225028029731142,0.9493990157071381
20240704,7,0.0001061612492776,4.8334455092511305e-05,02:22:49,2024-07-04,07:22:49,2024-07-04 07:22:49,2460495.807511574,False,0.8284898456301963,0.9788558319046965
20240704,8,0.0002428739680908,5.169456514845562e-05,02:22:49,2024-07-04,08:22:49,2024-07-04 08:22:49,2460495.8491782406,True,0.8344768882872786,0.008312648102254759
20240704,9,0.0002018714149016,6.322822665438647e-05,02:22:49,2024-07-04,09:22:49,2024-07-04 09:22:49,2460495.8908449076,False,0.8404639310112713,0.03776946462901865
20240704,10,0.000342830287991,4.817192443474269e-05,02:22:49,2024-07-04,10:22:49,2024-07-04 10:22:49,2460495.932511574,True,0.8464509736683535,0.06722628082657696
20240704,11,0.0003112652921117,4.083390420556833e-05,02:22:49,2024-07-04,11:22:49,2024-07-04 11:22:49,2460495.9741782406,True,0.8524380163254357,0.09668309702413527
20240704,12,0.0003240390506107,4.84209276312232e-05,02:22:49,2024-07-04,12:22:49,2024-07-04 12:22:49,2460496.0158449076,True,0.8584250590494285,0.12613991355089918
20240704,13,0.0003336811205372,6.268787842725135e-05,02:22:49,2024-07-04,13:22:49,2024-07-04 13:22:49,2460496.057511574,True,0.8644121017065106,0.15559672974845748
20240626,3,0.0003319641400594,6.1373941275782e-05,03:48:39,2024-06-26,03:48:39,2024-06-26 03:48:39,2460487.6587847224,True,0.657607234982336,0.218002631707182
20240626,4,0.0003016663249582,5.17519364714303e-05,03:48:39,2024-06-26,04:48:39,2024-06-26 04:48:39,2460487.700451389,True,0.6635942776394183,0.2474594479047403
20240626,5,0.0003599800693336,4.702405451843963e-05,03:48:39,2024-06-26,05:48:39,2024-06-26 05:48:39,2460487.7421180555,True,0.6695813202965005,0.27691626410229864
20240626,6,0.0003441933949943,4.4483556091838106e-05,03:48:39,2024-06-26,06:48:39,2024-06-26 06:48:39,2460487.7837847224,True,0.6755683630204932,0.3063730806290625
20240626,7,0.0003262140671722,4.499035490385137e-05,03:48:39,2024-06-26,07:48:39,2024-06-26 07:48:39,2460487.825451389,True,0.6815554056775754,0.33582989682662084
20240626,8,0.0004967568092979,4.33331223603918e-05,03:48:39,2024-06-26,08:48:39,2024-06-26 08:48:39,2460487.8671180555,True,0.6875424483346576,0.36528671302417914
20240626,9,0.0003753019846044,4.735517285926306e-05,03:48:39,2024-06-26,09:48:39,2024-06-26 09:48:39,2460487.9087847224,True,0.6935294910586502,0.39474352955094305
20240626,10,0.0003319925162941,4.322955129461468e-05,03:48:39,2024-06-26,10:48:39,2024-06-26 10:48:39,2460487.950451389,True,0.6995165337157325,0.42420034574850135
20240626,11,0.0002555134706199,4.396349611178159e-05,03:48:39,2024-06-26,11:48:39,2024-06-26 11:48:39,2460487.9921180555,True,0.7055035763728148,0.45365716194605965
20240626,12,0.0003807537723332,4.8394796663765526e-05,03:48:39,2024-06-26,12:48:39,2024-06-26 12:48:39,2460488.0337847224,True,0.7114906190968074,0.48311397847282356
20240626,13,0.0004182860429864,5.240844536376318e-05,03:48:39,2024-06-26,13:48:39,2024-06-26 13:48:39,2460488.075451389,True,0.7174776617538897,0.5125707946703819
20240626,14,0.0005051287007518,9.283436886319e-05,03:48:39,2024-06-26,14:48:39,2024-06-26 14:48:39,2460488.1171180555,True,0.7234647044109719,0.5420276108679402
20240611,6,0.0008030000608414,4.585729889723677e-05,06:09:39,2024-06-11,06:09:39,2024-06-11 06:09:39,2460472.756701389,True,0.5163414206643503,0.6827722792280834
20240611,7,0.0007630662294104,4.949063776236488e-05,06:09:39,2024-06-11,07:09:39,2024-06-11 07:09:39,2460472.7983680554,True,0.5223284633214325,0.7122290954256416
