obsname,tstart,tstop,source_J,bkg_rms_J,bkg_max_J,datetime,jd,phase,source_J_val
2024-04-07,09:10:29,20:19:49,8.37613115436398e-05,2.42581847855207e-05,0.0001668912591412,2024-04-07 14:45:09,2460408.1146875,0.2279935158549222,False
2024-04-21,08:39:19,16:41:39,0.0001886341051431,2.78160286975544e-05,0.0001300942385569,2024-04-21 12:40:29,2460422.0281134257,0.227200111855532,True
2024-04-26,08:45:59,19:35:49,0.0002375668118475,2.38228222209829e-05,0.0001259537821169,2024-04-26 14:10:54,2460427.090902778,0.9546673741282984,True
2024-04-28,13:03:49,18:10:19,0.0001172400297946,5.22171537183564e-05,0.0001735498954076,2024-04-28 15:37:04,2460429.150740741,0.25064348125387054,False
2024-05-05,13:13:49,18:39:59,0.0002733087167143,3.26312457108253e-05,0.000150855485117,2024-05-05 15:56:54,2460436.164513889,0.25844570158094277,True
2024-05-11,06:59:59,18:14:59,0.0003815942909568,2.28425126776786e-05,0.0001239903649548,2024-05-11 12:37:29,2460442.0260300925,0.10068124584454768,True
2024-05-15,06:37:29,17:54:19,0.0002065224543912,2.152824137714e-05,0.0001076847402146,2024-05-15 12:15:54,2460446.011041667,0.6732836708075632,True
2024-05-31,05:24:09,16:35:09,8.40222055558115e-05,1.71360916887189e-05,7.96337408246472e-05,2024-05-31 10:59:39,2460461.958090278,0.9646995262717553,False
2024-06-11,06:09:39,12:13:59,0.0009828319307416,2.07672465896627e-05,0.0001214532821904,2024-06-11 09:11:49,2460472.8832060187,0.5345187474976502,True
2024-06-14,04:28:29,15:48:49,0.0003312543558422,1.53547641670144e-05,0.0001155348436441,2024-06-14 10:08:39,2460475.922673611,0.9712568802366521,True
2024-06-19,04:59:39,15:44:09,0.0002925415174104,1.74541459942918e-05,0.0001042086805682,2024-06-19 10:21:54,2460480.931875,0.6910241403427402,True
2024-06-26,03:48:39,15:12:39,0.0003614143352024,1.4236980645727e-05,0.0001124979316955,2024-06-26 09:30:39,2460487.8962847223,0.6917333782280705,True
2024-07-04,02:22:49,14:03:59,0.0001892815052997,1.6201855399426e-05,0.0001261548022739,2024-07-04 08:13:24,2460495.842638889,0.8335372552114968,True
2024-07-15,01:44:19,13:12:59,0.0001166918809758,1.64353498466928e-05,0.0001245006569661,2024-07-15 07:28:39,2460506.8115625,0.4096511865694629,False
